dates	sent	house	indpro	sp500
2011-07-01	97.3510256967528	623	97.1711	1292.280029
2011-08-01	96.8569602833747	585	97.7699	1218.890015
2011-09-01	96.7895586990954	650	97.7762	1131.420044
2011-10-01	97.0219938143161	610	98.4296	1253.300049
2011-11-01	97.4651956898372	711	98.2829	1246.959961
2011-12-01	98.0134204800638	694	98.7841	1257.599976
2012-01-01	98.4807904634617	723	99.5096	1312.410034
2012-02-01	98.7413514569142	704	99.7389	1365.680054
2012-03-01	98.8669164949746	695	99.0887	1408.469971
2012-04-01	98.9021056400992	753	99.9280	1397.910034
2012-05-01	98.8455833556431	708	100.0508	1310.329956
2012-06-01	98.6386032298589	757	99.9691	1362.160034
2012-07-01	98.5656713626445	740	100.2736	1379.319946
2012-08-01	98.7376434830585	754	99.8330	1406.579956
2012-09-01	99.0578544054792	847	99.9189	1440.670044
2012-10-01	99.2874846004255	915	100.1878	1412.160034
2012-11-01	99.2000266546080	833	100.6435	1416.180054
2012-12-01	98.8619332621385	976	100.8580	1426.189941
2013-01-01	98.7319421049099	888	100.9330	1498.109985
2013-02-01	98.8362096580112	970	101.3425	1514.680054
2013-03-01	99.0051047580119	999	101.5610	1569.189941
2013-04-01	99.2198845632083	826	101.5385	1597.569946
2013-05-01	99.5624687992408	920	101.4689	1630.73999
2013-06-01	99.7395873935384	852	101.6621	1606.280029
2013-07-01	99.7014179387901	891	101.2685	1685.72998
2013-08-01	99.4169993604002	898	102.0442	1632.969971
2013-09-01	99.0310707168547	860	102.6361	1681.550049
2013-10-01	98.7924817412575	921	102.6534	1756.540039
2013-11-01	98.8942424950344	1104	102.9163	1805.810059
2013-12-01	99.2018341573732	1010	103.1889	1848.359985
2014-01-01	99.3769200281212	888	103.0047	1782.589966
2014-02-01	99.4479070230177	951	103.8079	1859.449951
2014-03-01	99.4805896536433	963	104.6615	1872.339966
2014-04-01	99.5546307707699	1039	104.8595	1883.949951
2014-05-01	99.5410079807471	986	105.2461	1923.569946
2014-06-01	99.5145168454085	927	105.7160	1960.22998
2014-07-01	99.5063211117351	1095	106.0803	1930.670044
2014-08-01	99.6016454545651	966	106.1138	2003.369995
2014-09-01	99.8055679955251	1026	106.6776	1972.290039
2014-10-01	100.0900991749420	1079	106.8463	2018.050049
2014-11-01	100.4394648366810	1007	107.7996	2067.560059
2014-12-01	100.8385145436490	1080	107.9108	2058.899902
